cell_type	cancer_type	taxa	rho	rho_p	tau	tau_p	rho_padj	tau_padj	r.sqr	r.sqr.adj	pval	padj	ci.lower	ci.upper	sigma	sigma.flag	stabsel_prob	stabsel_pass
Macrophages_M2	LGG	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	0.209832574	1.94E-06	0.138362143	3.14E-06	0.000549385	0.000820396	0.626249131	0.594236208	4.54E-07	0.00012813	0.169164402	0.384124365	0.623979923	0	0.81	TRUE
Macrophages_M2	LGG	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Candidatus_Stoquefichus	0.154322507	0.000488801	0.100731491	0.000689797	0.039694823	0.050626953	0.626249131	0.594236208	3.94E-08	2.78E-05	0.141468919	0.298406358	0.623979923	0	0.74	TRUE
Macrophages_M2	LGG	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermacoccaceae.g__Kytococcus	0.338824241	5.45E-15	0.230955598	7.19E-15	1.18E-11	1.56E-11	0.626249131	0.594236208	2.53E-07	8.93E-05	0.070831778	0.157726367	0.623979923	0	0.99	TRUE
Macrophages_M2	LGG	k__Bacteria.p__Firmicutes.c__Clostridia.o__Thermoanaerobacterales.f__Thermoanaerobacteraceae.g__Thermacetogenium	-0.445070317	0	-0.301231577	3.35E-24	0	6.31E-20	0.626249131	0.594236208	2.93E-06	0.000688413	-0.19191662	-0.078547109	0.623979923	0	1	TRUE
Macrophages_M2	LGG	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Hallella	0.190885818	1.54E-05	0.128841883	1.42E-05	0.0030399	0.002925556	0.626249131	0.594236208	7.53E-06	0.001517223	0.097112968	0.248279718	0.623979923	0	0.82	TRUE
NK_cells	LGG	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.200033466	5.79E-06	0.135488981	5.00E-06	0.001366823	0.001196499	0.256540682	0.226008472	1.73E-05	0.012222897	0.005354746	0.014336923	0.078005838	0	0.91	TRUE
Non_plasma_B_cells	LGG	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	-0.211475279	1.60E-06	-0.141111059	1.99E-06	0.000459583	0.000562575	0.535399237	0.469476156	0.000654108	0.036917857	-0.106719732	-0.028790021	0.226212242	0	0.87	TRUE
Non_plasma_B_cells	LGG	k__Bacteria.p__Proteobacteria.c__Acidithiobacillia.o__Acidithiobacillales.f__Acidithiobacillaceae.g__Acidithiobacillus	-0.232343924	1.28E-07	-0.15606703	1.46E-07	5.66E-05	6.32E-05	0.535399237	0.469476156	0.000374861	0.027682248	-0.126865016	-0.036727446	0.226212242	0	0.75	TRUE
Other	LGG	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	-0.302076393	4.52E-12	-0.208467285	2.16E-12	5.80E-09	3.30E-09	0.532906943	0.487410866	3.31E-05	0.009354203	-0.035593485	-0.012760595	0.394112434	0	0.97	TRUE
Other	LGG	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	-0.453144155	0	-0.3134231	4.58E-26	0	1.29E-21	0.532906943	0.487410866	2.19E-18	3.09E-15	-0.158435886	-0.100431217	0.394112434	0	1	TRUE
Other	LGG	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Candidatus_Stoquefichus	-0.191950382	1.37E-05	-0.129478638	1.29E-05	0.002798484	0.00270212	0.532906943	0.487410866	2.07E-05	0.008662881	-0.157215948	-0.058092573	0.394112434	0	0.84	TRUE
Other	LGG	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermacoccaceae.g__Kytococcus	-0.293890056	1.76E-11	-0.199909923	1.64E-11	2.11E-08	2.00E-08	0.532906943	0.487410866	2.05E-05	0.008662881	-0.087077622	-0.032194065	0.394112434	0	0.91	TRUE
Other	LGG	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Hallella	-0.140380755	0.00152812	-0.09425523	0.001496284	0.080539324	0.079820649	0.532906943	0.487410866	2.46E-05	0.008662881	-0.150498063	-0.055019517	0.394112434	0	0.71	TRUE
T_cells	LGG	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.156967988	0.000389407	0.105266427	0.000390541	0.034021911	0.034333525	0.309197656	0.286686786	0.00048551	0.097864921	0.013469377	0.048008724	0.596174454	0	0.83	TRUE
T_cells	LGG	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.178742839	5.23E-05	0.122039479	3.93E-05	0.008055786	0.006374971	0.309197656	0.286686786	1.75E-13	2.47E-10	0.121027133	0.20877088	0.596174454	0	1	TRUE
T_cells	LGG	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Legionella	-0.249938236	1.27E-08	-0.168538104	1.36E-08	7.76E-06	8.63E-06	0.309197656	0.286686786	0.000406857	0.097355815	-0.244766351	-0.070176942	0.596174454	0	0.82	TRUE
T_cells	LGG	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Xylella	0.29111258	2.76E-11	0.205796021	4.11E-12	3.24E-08	5.70E-09	0.309197656	0.286686786	1.98E-05	0.013990756	0.108173844	0.291991144	0.596174454	0	0.99	TRUE
T_helpers	LGG	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Xylella	0.360711407	3.43E-17	0.243970243	2.04E-16	1.07E-13	6.40E-13	0.185187507	0.175429273	1.39E-08	1.97E-05	0.265311063	0.545328649	0.908180739	0	1	TRUE
Tregs	LGG	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.231718418	1.28E-07	0.157333385	1.15E-07	5.66E-05	5.23E-05	0.344696187	0.307835348	1.63E-07	0.000158951	0.014713402	0.032313389	0.119583026	0	1	TRUE
B_cells	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.253139556	1.24E-06	0.169545032	1.57E-06	0.000551026	0.000668134	0.514191805	0.465014901	3.73E-07	0.000175482	0.087931913	0.198329549	0.778325263	0	0.87	TRUE
B_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.389492717	1.82E-14	0.268987929	2.58E-14	1.14E-10	1.82E-10	0.514191805	0.465014901	2.86E-08	4.04E-05	0.075519079	0.157984156	0.778325263	0	0.98	TRUE
B_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.282777388	5.49E-08	0.194831322	3.43E-08	3.65E-05	2.39E-05	0.514191805	0.465014901	6.87E-08	4.85E-05	0.106088175	0.227166608	0.778325263	0	0.98	TRUE
CD4_T_cells	LIHC	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus	0.225849736	1.60E-05	0.15094398	1.91E-05	0.004495167	0.005294939	0.451902034	0.412635314	7.43E-05	0.020976347	0.060412738	0.178700432	1.051276783	0	0.75	TRUE
CD4_T_cells	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.286890074	3.46E-08	0.191488703	5.86E-08	2.47E-05	3.94E-05	0.451902034	0.412635314	1.61E-06	0.000566774	0.107938454	0.257051528	1.051276783	0	0.82	TRUE
CD4_T_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.331969125	1.35E-10	0.223460229	2.47E-10	2.79E-07	4.23E-07	0.451902034	0.412635314	6.80E-07	0.000319879	0.085443797	0.196828619	1.051276783	0	0.95	TRUE
CD4_T_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.28920825	2.66E-08	0.193221913	4.45E-08	2.03E-05	3.02E-05	0.451902034	0.412635314	1.37E-08	9.68E-06	0.249849626	0.513342757	1.051276783	0	0.81	TRUE
CD4_T_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.363226054	1.58E-12	0.248158465	2.09E-12	5.24E-09	6.86E-09	0.451902034	0.412635314	2.53E-11	3.56E-08	0.196582327	0.360121853	1.051276783	0	1	TRUE
CD8_T_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.255051094	1.03E-06	0.174032807	8.28E-07	0.000459244	0.000384767	0.496264996	0.463380218	4.97E-05	0.017541949	0.076422025	0.219282533	0.859951212	0	0.82	TRUE
CD8_T_cells	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.240039918	4.39E-06	0.161931291	4.52E-06	0.001672394	0.001678441	0.496264996	0.463380218	5.21E-13	3.68E-10	0.163666262	0.285641722	0.859951212	0	0.99	TRUE
CD8_T_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.380755767	9.23E-14	0.263354998	8.75E-14	4.34E-10	4.12E-10	0.496264996	0.463380218	5.88E-15	8.30E-12	0.199526122	0.333302513	0.859951212	0	1	TRUE
CD8_T_cells_PD1_high	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.248650324	1.93E-06	0.168926029	1.72E-06	0.000817526	0.000718368	0.471403234	0.438561423	0.000145601	0.051360873	0.067040331	0.209980047	0.860428009	0	0.84	TRUE
CD8_T_cells_PD1_high	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.234143782	7.57E-06	0.158062519	7.59E-06	0.002470642	0.002536028	0.471403234	0.438561423	1.30E-12	9.14E-10	0.159865357	0.281908446	0.860428009	0	0.99	TRUE
CD8_T_cells_PD1_high	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.373220472	3.27E-13	0.257876818	2.81E-13	1.32E-09	1.22E-09	0.471403234	0.438561423	5.45E-14	7.68E-11	0.189880538	0.323731101	0.860428009	0	1	TRUE
CD8_T_cells_PD1_low	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.259513062	6.54E-07	0.177004024	5.36E-07	0.000312828	0.000265575	0.513465798	0.478609616	1.86E-05	0.006556961	0.081732156	0.219754749	0.830829306	0	0.87	TRUE
CD8_T_cells_PD1_low	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.246783026	2.31E-06	0.166697617	2.35E-06	0.000937358	0.000967321	0.513465798	0.478609616	6.63E-13	4.68E-10	0.157137567	0.274982376	0.830829306	0	0.95	TRUE
CD8_T_cells_PD1_low	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.386325512	3.37E-14	0.266635716	4.31E-14	1.90E-10	2.55E-10	0.513465798	0.478609616	3.20E-16	4.51E-13	0.204610198	0.333856305	0.830829306	0	1	TRUE
Endothelium	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.304499006	4.42E-09	0.2090684	3.20E-09	4.46E-06	3.35E-06	0.697877483	0.633574379	1.82E-13	2.57E-10	0.075938444	0.131047512	0.520132659	0	0.99	TRUE
Endothelium	LIHC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.393379321	8.02E-15	0.269452182	2.33E-14	7.54E-11	1.82E-10	0.697877483	0.633574379	6.83E-08	4.82E-05	0.114258199	0.244624802	0.520132659	0	1	TRUE
Fibroblasts	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.520151647	0	0.364964407	4.82E-25	0	2.72E-20	0.490567973	0.462099713	1.14E-28	1.61E-25	0.234775264	0.335368195	0.949420317	0	1	TRUE
Fibroblasts	LIHC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.281856856	6.09E-08	0.190807799	6.53E-08	3.95E-05	4.28E-05	0.490567973	0.462099713	1.05E-08	7.44E-06	0.228358958	0.466322676	0.949420317	0	1	TRUE
Fibroblasts	LIHC	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	0.31203713	1.76E-09	0.21086351	2.35E-09	2.02E-06	2.55E-06	0.490567973	0.462099713	8.39E-05	0.033146441	0.092665934	0.276772515	0.949420317	0	0.94	TRUE
Lymphocytes	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.303563042	4.95E-09	0.208727948	3.39E-09	4.90E-06	3.42E-06	0.528052953	0.492727575	2.08E-06	0.000976522	0.095086313	0.228878689	0.805365442	0	0.95	TRUE
Lymphocytes	LIHC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.332529058	1.25E-10	0.235592696	2.52E-11	2.72E-07	6.18E-08	0.528052953	0.492727575	0.000606971	0.081270587	0.022233504	0.081581666	0.805365442	0	0.81	TRUE
Lymphocytes	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.298510277	9.04E-09	0.203249768	8.60E-09	7.79E-06	7.47E-06	0.528052953	0.492727575	4.98E-13	3.52E-10	0.15345394	0.267686955	0.805365442	0	0.96	TRUE
Lymphocytes	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.317776886	8.55E-10	0.213989477	1.36E-09	1.05E-06	1.60E-06	0.528052953	0.492727575	3.24E-05	0.010229523	0.047795478	0.133125515	0.805365442	0	0.91	TRUE
Lymphocytes	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.40491439	0	0.283317858	1.02E-15	0	1.16E-11	0.528052953	0.492727575	7.20E-18	1.02E-14	0.212593235	0.337878113	0.805365442	0	1	TRUE
Macrophages	LIHC	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus	0.24810068	2.03E-06	0.164778706	3.06E-06	0.000837187	0.001217425	0.480764479	0.424674222	7.48E-06	0.003523372	0.034009224	0.086922029	0.470260269	0	0.77	TRUE
Macrophages	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.293194135	1.68E-08	0.199411947	1.63E-08	1.32E-05	1.28E-05	0.480764479	0.424674222	5.04E-08	7.11E-05	0.069551838	0.147674434	0.470260269	0	0.99	TRUE
Macrophages	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.299085641	8.45E-09	0.200371402	1.39E-08	7.45E-06	1.14E-05	0.480764479	0.424674222	7.49E-06	0.003523372	0.042867993	0.109569698	0.470260269	0	0.98	TRUE
Macrophages_M1	LIHC	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus	0.228690808	1.24E-05	0.152027236	1.67E-05	0.003683319	0.004775588	0.440759084	0.386032144	1.75E-05	0.021301556	0.026780416	0.071745498	0.399625229	0	0.82	TRUE
Macrophages_M1	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.210189379	6.06E-05	0.142401733	5.51E-05	0.013470332	0.012591699	0.440759084	0.386032144	0.000217857	0.051232737	0.029424622	0.09581288	0.399625229	0	0.78	TRUE
Macrophages_M2	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.286376438	3.67E-08	0.196162179	2.77E-08	2.59E-05	2.03E-05	0.341811971	0.302980819	9.75E-06	0.006879742	0.072173055	0.187054859	0.691532937	0	0.97	TRUE
Macrophages_M2	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.340461218	4.26E-11	0.232033426	4.98E-11	1.00E-07	1.13E-07	0.341811971	0.302980819	2.45E-05	0.011517131	0.056538975	0.154625991	0.691532937	0	0.99	TRUE
Macrophages_M2	LIHC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.310284544	2.18E-09	0.205725781	5.67E-09	2.42E-06	5.33E-06	0.341811971	0.302980819	8.12E-06	0.006879742	0.110634698	0.283961249	0.691532937	0	0.67	TRUE
Monocytes	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.26368722	4.26E-07	0.182575054	2.33E-07	0.00022281	0.000133034	0.231750307	0.211995314	6.74E-05	0.047563854	0.049320509	0.144781618	0.673019772	0	0.73	TRUE
Monocytes	LIHC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.372704265	3.56E-13	0.25636026	3.86E-13	1.34E-09	1.56E-09	0.231750307	0.211995314	1.03E-08	1.45E-05	0.162083521	0.330769913	0.673019772	0	1	TRUE
Neutrophils	LIHC	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Halieaceae.g__Pseudohaliea	-0.214038744	4.23E-05	-0.1453918	3.83E-05	0.009990137	0.009322989	0.724424595	0.66349806	0.000122917	0.037453659	-0.032216715	-0.010443802	0.136375432	0	0.65	TRUE
Non_plasma_B_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.438126837	0	0.305787682	4.70E-18	0	8.85E-14	0.375366455	0.340460463	9.14E-13	1.29E-09	0.079916141	0.140358055	0.570465344	0	1	TRUE
Non_plasma_B_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.329382171	1.90E-10	0.221386568	3.61E-10	3.70E-07	5.61E-07	0.375366455	0.340460463	1.10E-09	7.75E-07	0.150806921	0.293788962	0.570465344	0	0.97	TRUE
Non_plasma_B_cells	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Paeniclostridium	0.216595035	3.55E-05	0.147941814	2.79E-05	0.00875436	0.00710187	0.375366455	0.340460463	4.20E-06	0.001481347	0.078638145	0.195344429	0.570465344	0	0.68	TRUE
Other	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	-0.331775708	1.38E-10	-0.229402662	8.20E-11	2.79E-07	1.65E-07	0.534947635	0.500138326	3.74E-08	1.06E-05	-0.18794661	-0.089222343	0.594272373	0	1	TRUE
Other	LIHC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	-0.298442118	9.11E-09	-0.211637264	2.05E-09	7.79E-06	2.27E-06	0.534947635	0.500138326	0.000719584	0.092303062	-0.059679232	-0.015886723	0.594272373	0	0.66	TRUE
Other	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	-0.328276453	2.20E-10	-0.222686475	2.85E-10	3.99E-07	4.73E-07	0.534947635	0.500138326	3.69E-11	1.74E-08	-0.184411683	-0.100120103	0.594272373	0	1	TRUE
Other	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Candidatus_Symbiobacter	0.261869562	5.14E-07	0.176632621	5.67E-07	0.000261419	0.000278049	0.534947635	0.500138326	2.94E-05	0.006906645	0.05970996	0.165220741	0.594272373	0	0.87	TRUE
Other	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	-0.390393959	1.52E-14	-0.266419065	4.51E-14	1.07E-10	2.55E-10	0.534947635	0.500138326	2.67E-11	1.74E-08	-0.138522194	-0.075557879	0.594272373	0	1	TRUE
Other	LIHC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	-0.287369501	3.28E-08	-0.194336119	3.72E-08	2.37E-05	2.56E-05	0.534947635	0.500138326	3.22E-09	1.14E-06	-0.299416441	-0.150467381	0.594272373	0	0.7	TRUE
Other	LIHC	k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Parvimonas	-0.32782969	2.34E-10	-0.221510368	3.53E-10	3.99E-07	5.61E-07	0.534947635	0.500138326	0.000365526	0.058739957	-0.162387757	-0.047149592	0.594272373	0	0.88	TRUE
Other	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	-0.327957006	2.30E-10	-0.228907459	9.00E-11	3.99E-07	1.72E-07	0.534947635	0.500138326	2.32E-12	3.27E-09	-0.211634766	-0.11918811	0.594272373	0	1	TRUE
Plasma_B_cells	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.233480711	8.05E-06	0.155277004	1.10E-05	0.002594937	0.003359924	0.476866433	0.416754812	2.00E-07	0.000140854	0.156051482	0.344868643	1.331198481	0	0.93	TRUE
Plasma_B_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.325071953	3.35E-10	0.219622408	4.98E-10	4.98E-07	6.85E-07	0.476866433	0.416754812	4.47E-06	0.001576623	0.09456888	0.235611951	1.331198481	0	0.96	TRUE
Plasma_B_cells	LIHC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Hymenobacteraceae.g__Rufibacter	-0.196770294	0.000176626	-0.130083565	0.000229703	0.030300289	0.037361431	0.476866433	0.416754812	4.33E-05	0.012226425	-0.23757492	-0.083618312	1.331198481	0	0.83	TRUE
Plasma_B_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.293320165	1.66E-08	0.201361807	1.18E-08	1.32E-05	9.93E-06	0.476866433	0.416754812	1.94E-07	0.000140854	0.171421302	0.378506223	1.331198481	0	0.97	TRUE
T_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Tropicibacter	0.302527026	5.61E-09	0.206406685	5.05E-09	5.19E-06	4.91E-06	0.480002277	0.455745823	8.78E-06	0.004127987	0.09165568	0.236216794	0.870188041	0	0.88	TRUE
T_cells	LIHC	k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Flammeovirgaceae.g__Flammeovirga	0.336345702	7.48E-11	0.239275766	1.23E-11	1.69E-07	3.31E-08	0.480002277	0.455745823	0.000255992	0.053688556	0.02774808	0.091873082	0.870188041	0	0.82	TRUE
T_cells	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.297125235	1.06E-08	0.201423708	1.17E-08	8.83E-06	9.93E-06	0.480002277	0.455745823	3.13E-12	2.21E-09	0.157808542	0.281235993	0.870188041	0	0.98	TRUE
T_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.304905388	4.21E-09	0.205168678	6.23E-09	4.32E-06	5.72E-06	0.480002277	0.455745823	1.82E-05	0.00643676	0.054693287	0.146891404	0.870188041	0	0.95	TRUE
T_cells	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.413878708	0	0.288053234	3.41E-16	0	4.81E-12	0.480002277	0.455745823	1.19E-17	1.67E-14	0.227724705	0.363093565	0.870188041	0	1	TRUE
T_helpers	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.32177414	4.08E-10	0.218618434	6.17E-10	5.72E-07	8.10E-07	0.365723381	0.326315662	1.59E-07	0.000112395	0.028032023	0.061517848	0.316047277	0	1	TRUE
T_helpers	LIHC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.185528834	0.000402115	0.123575022	0.00047147	0.053780525	0.060104472	0.365723381	0.326315662	4.92E-06	0.002315884	0.052703607	0.131918032	0.316047277	0	0.75	TRUE
T_helpers	LIHC	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Hyphomonas	0.304371496	3.74E-09	0.206474686	5.15E-09	3.91E-06	4.92E-06	0.365723381	0.326315662	2.57E-09	3.62E-06	0.050135118	0.099300307	0.316047277	0	0.98	TRUE
Tregs	LIHC	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Mardivirus	0.245292273	2.66E-06	0.165707211	2.69E-06	0.00106657	0.001086173	0.278833461	0.258169663	5.28E-06	0.001861702	0.094615171	0.237622185	1.270968683	0	0.88	TRUE
Tregs	LIHC	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	0.265936208	3.38E-07	0.180191891	3.34E-07	0.00018815	0.000183097	0.278833461	0.258169663	4.69E-06	0.001861702	0.120407696	0.300681864	1.270968683	0	0.78	TRUE
Tregs	LIHC	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Sutterella	0.243431405	3.18E-06	0.163014547	3.90E-06	0.00124755	0.001477689	0.278833461	0.258169663	0.000133251	0.037603434	0.06391072	0.198572326	1.270968683	0	0.8	TRUE
Tregs	LIHC	k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.259546499	6.52E-07	0.173506654	8.94E-07	0.000312828	0.000409994	0.278833461	0.258169663	1.76E-06	0.001240891	0.229117923	0.547674865	1.270968683	0	0.69	TRUE
